Every 1st line: Acceleration
Every 2nd line: Gyro Measurement
Every 3rd line: Mag
Every 4th line: (Yaw, Pitch, Roll)
(0.2544; -0.2797; 0.054)
(-94.814; -26.444; -70.859)
(-31.88; 20.095; -17.05)
(-0.414524; -19.037; -0.203147)
(0.1435; -0.2768; -0.3441)
(22.26; -9.021; -123.44)
(-37.616; 1.796; -43.994)
(6.56438; 21.863; 5.90544)
(-0.2415; -0.0377; -0.3187)
(45.507; 45.732; -145.817)
(-44.289; 21.3; 12.737)
(-2.57857; -14.8783; 11.0556)
(0.4656; -0.0604; -0.0644)
(-19.812; -67.935; -111.403)
(-23.766; -13.629; -15.176)
(0.057748; -8.92339; 15.5401)
(-0.1037; -0.1323; -0.3714)
(9.391; 33.901; -141.13)
(-49.07; 3.359; 4.535)
(8.851; 16.0265; -19.2159)
(0.0392; -0.1678; -0.4096)
(-8.877; 9.112; -144.64)
(-27.987; 32.777; 22.587)
(1.99838; -1.48519; 8.72993)
(0.4681; 0.0127; -0.1432)
(-3.049; -70.269; -126.188)
(-29.138; -7.968; -10.089)
(0.006264; -8.48976; 17.5081)
(-0.066; -0.1797; -0.3561)
(0.893; 29.593; -132.217)
(-36.097; -11.28; -11.515)
(5.7062; 12.8844; -13.6574)
(-0.1382; -0.1077; -0.3593)
(-16.535; 46.581; -147.263)
(-37.72; 14.547; 8.966)
(-0.814988; -4.51978; 6.75679)
(0.4556; -0.0397; -0.1521)
(-15.077; -62.449; -116.607)
(-29.5; 3.447; -0.727)
(-1.45517; -9.43067; 18.4568)
(0.0992; -0.2438; -0.3437)
(-9.511; 8.48; -125.54)
(-30.477; -12.905; -25.912)
(0.686427; 13.2652; -9.81988)
(-0.2307; -0.066; -0.2783)
(-3.902; 66.482; -135.926)
(-46.943; 31.698; 17.025)
(-1.27261; -4.99156; 7.21615)
(0.4615; 0.039; -0.1004)
(-20.185; -73.642; -110.268)
(-28.171; 0.621; -2.85)
(-2.75678; -9.95142; 17.0307)
(0.0528; -0.2452; -0.3462)
(-5.611; 18.828; -122.112)
(-35.22; -10.946; -30.471)
(4.5883; 15.7481; -7.77595)
(-0.2458; 0.0334; -0.2587)
(-23.8; 78.979; -170.034)
(-42.283; 35.497; 22.021)
(-0.536792; -1.26141; 5.52738)
(0.4654; 0.0441; -0.086)
(-28.656; -74.346; -104.363)
(-24.518; 13.318; 2.197)
(-3.16914; -11.624; 11.6468)
(0.2036; -0.2257; -0.3327)
(-8.305; -5.008; -123.718)
(-29.539; -16.16; -62.248)
(0.966551; 10.8132; 1.31772)
(-0.2719; 0.1165; -0.1289)
(-173.17; 78.02; 28.831)
(-45.163; 82.851; 40.902)
(-0.361769; 3.11811; 2.12975)
(0.431; 0.1798; -0.0897)
(105.579; -86.287; 121.497)
(-39.712; 6.364; -3.334)
(-3.96171; -14.9329; 16.9247)
(0.0672; -0.2138; -0.3645)
(-8.096; 19.747; -126.901)
(-53.395; 7.002; -48.052)
(-0.219274; 21.2583; -4.63434)
(-0.2785; 0.0858; -0.0417)
(159.093; 61.281; -5.507)
(-57.981; 36.839; 29.333)
(-2.72301; -10.3276; 17.8717)
(0.4294; 0.0799; 0.0565)
(-136.857; -64.743; -86.665)
(-23.619; 5.75; -4.19)
(2.13737; -8.46338; 14.0261)
(0.0528; -0.2452; -0.3405)
(159.124; 4.787; -113.18)
(-25.929; -9.13; -58.693)
(-0.329171; 8.23242; 0.108542)
(-0.2777; 0.0592; -0.0187)
(-111.752; 64.552; -48.748)
(-69.798; 68.143; 53.717)
(-1.85874; 16.4281; -3.69983)
(0.4252; 0.0535; 0.0764)
(21.552; -53.783; -32.363)
(-14.978; 1.622; 4.454)
(2.05993; -5.56394; 6.08238)
(0.2374; -0.3135; -0.1685)
(35.061; -16.904; -99.166)
(-58.945; 41.399; -87.333)
(-4.5793; -11.5643; 0.466513)
(-0.1833; -0.2433; -0.002)
(124.867; 26.963; -94.149)
(-110.521; 37.935; 64.151)
(3.26965; 26.5783; -6.84646)
(0.349; -0.1978; 0.0504)
(-129.717; -68.173; 3.771)
(-33.267; -1.981; -3.495)
(-0.429906; -20.2572; 5.38371)
(0.1463; -0.3478; -0.1949)
(-97.926; -39.635; -146.249)
(-63.615; 10.515; -30.048)
(5.47326; 22.191; 11.2399)
(-0.2181; -0.1842; -0.225)
(-124.007; 32.169; -139.257)
(-41.581; 19.894; 47.78)
(-0.777918; -4.17377; 2.92974)
(0.2829; -0.245; 0.079)
(2.28; -55.407; -1.308)
(-29.682; 5.095; -9.128)
(-2.71843; -19.4211; 1.21067)
(0.1315; -0.3259; -0.2512)
(167.778; -15.203; -153.515)
(-45.156; 16.305; -33.854)
(4.26482; 14.8004; 11.951)
(-0.223; -0.1775; -0.2222)
(168.528; 68.218; -163.41)
(-37.739; 14.292; 55.946)
(1.00894; 1.6631; 3.07437)
(0.2713; -0.2511; 0.0429)
(-1.876; -62.924; -21.082)
(-21.69; -0.531; 1.414)
(1.73563; -15.1015; 4.76967)
(0.192; -0.3185; -0.2168)
(145.845; -27.321; -148.921)
(-43.744; 26.324; -37.879)
(2.66023; 12.3469; 15.1731)
(-0.2076; -0.1552; -0.2534)
(-178.029; 74.832; -155.848)
(-37.105; 23.374; 58.446)
(-2.51457; -0.514523; 5.15729)
(0.2879; -0.2424; 0.0534)
(-14.527; -68.348; -32.769)
(-20.174; 0.619; -2.101)
(1.91708; -16.2685; 1.5808)
(0.1229; -0.3271; -0.2284)
(58.398; -13.818; -156.359)
(-43.166; 22.053; -34.576)
(4.88473; 11.9358; 16.469)
(-0.2109; -0.1313; -0.2693)
(38.363; 77.993; -172.018)
(-37.529; 24.193; 64.112)
(0.770581; 4.90128; 2.7848)
(0.2867; -0.2396; 0.049)
(-141.752; -67.756; -24.329)
(-21.334; -0.352; -7.667)
(-1.78041; -16.9923; -0.490945)
(0.1256; -0.3125; -0.247)
(-18.325; -5.652; -155.667)
(-33.103; 14.831; -28.059)
(2.81656; 12.5384; 11.601)
(-0.133; -0.1568; -0.3448)
(-18.978; 56.878; -171.824)
(-34.427; 13.054; 52.867)
(1.75072; 4.66936; 3.10809)
(0.2521; -0.2703; 0.0382)
(-149.395; -62.405; -55.369)
(-13.763; 4.94; -2.965)
(1.50148; -13.1107; 1.13643)
(0.2085; -0.3085; -0.2107)
(-53.079; -20.119; -143.605)
(-26.59; 33.784; -47.898)
(-0.781605; 1.18754; 6.13625)
(-0.1652; -0.2118; -0.2667)
(29.679; 63.223; -122.937)
(-67.859; 15.111; 54.931)
(3.35908; 19.8973; 2.38944)
(0.2868; -0.2709; -0.024)
(-135.828; -63.847; -79.38)
(-25.755; 1.608; 0.293)
(2.39644; -15.8343; 4.45636)
(0.201; -0.3177; -0.1808)
(-83.23; -23.075; -137.399)
(-41.613; 33.824; -47.894)
(1.95756; 4.32934; 12.3457)
(-0.192; -0.1861; -0.2416)
(46.218; 64.218; -100.704)
(-74.598; 10.716; 47.054)
(2.49325; 17.3585; 7.57522)
(0.2696; -0.264; 0.0056)
(-167.944; -72.651; -68.279)
(-36.553; 11.774; -1.022)
(-0.646111; -19.7023; -0.720615)
(0.2215; -0.2876; -0.229)
(-55.736; -23.801; -162.742)
(-58.645; -0.095; -28.238)
(2.57712; -13.3586; 20.6651)
(-0.2809; -0.0185; -0.0431)
(128.539; 59.492; 26.667)
(-81.688; 11.755; -0.877)
(11.442; 24.4934; -20.6324)
(-0.1344; 0.0073; -0.3879)
(172.755; 42.16; 123.883)
(-48.032; 12.195; 19.625)
(-4.51941; -12.1383; 15.6859)
(0.4187; -0.1383; -0.064)
(-156.045; -49.815; -152.686)
(-82.521; -8.707; -34.2)
(-13.9926; -24.082; 13.4173)
(-0.2796; 0.0898; -0.046)
(94.379; 46.152; 63.289)
(-155.919; 29.249; 32.217)
(34.6712; 34.5125; -29.2675)
(0.0516; -0.0569; -0.4524)
(173.555; 4.782; 172.321)
(-62.045; 0.817; -7.954)
(-7.4809; -21.6639; 9.15248)
(0.1666; -0.19; -0.3851)
(77.9; 33.414; -140.975)
(-29.175; 5.745; -62.637)
(-4.67568; -4.3289; -1.70608)
(-0.192; 0.102; 0.1423)
(-145.832; 0.766; -32.399)
(-118.444; 69.019; 44.617)
(-2.25384; 24.1871; -22.5261)
(0.4267; 0.0222; -0.213)
(128.07; -71.978; -118.004)
(-47.406; 7.701; -14.645)
(-5.61551; -21.9164; 7.34036)
(-0.0992; -0.1008; -0.3699)
(88.578; 38.249; -138.569)
(-21.217; 13.327; -48.156)
(0.867504; 7.50237; 6.86703)
(-0.1799; 0.0805; 0.1598)
(-139.561; 38.736; -18.556)
(-72.096; 75.411; 40.057)
(-1.04455; 14.2908; -10.3304)
(0.4076; 0.0745; -0.2507)
(-87.611; -68.265; -108.012)
(-33.768; -0.147; -14.123)
(-7.59721; -18.4935; 7.32963)
(-0.1761; -0.0764; -0.3258)
(-132.494; 46.436; -119.321)
(-28.35; 9.128; -27.282)
(4.5803; 18.9731; 5.06652)
(-0.2815; 0.0634; -0.0374)
(-115.084; 58.648; -71.167)
(-18.599; 28.259; 33.667)
(0.211558; 8.87476; -1.23972)
(0.4334; -0.0111; 0.0208)
(47.986; -63.802; -31.546)
(-19.95; 17.308; 5.341)
(1.46532; -8.45969; -2.2635)
(0.3951; 0.0289; -0.2911)
(158.409; -45.511; -163.831)
(1.26; 3.552; -3.732)
(0.464551; 1.55601; 6.52137)
(0.2172; -0.1108; -0.394)
(128.91; -7.599; -136.988)
(-26.949; 22.688; -1.507)
(0.124984; 7.41961; 3.52626)
(0.3347; -0.1438; -0.2881)
